ra,dec,magnitude,distance_pc,temperature,catalog,source_id,color_bp_rp,proper_motion_ra,proper_motion_dec,radial_velocity,stellar_type,j_magnitude,h_magnitude,k_magnitude
266.89007492146686,-27.830834617754377,4.327284,292.8391,6114.259,Gaia_DR3,4057701830728920064,1.0979533,-4.947724840840441,-10.552813466243723,-12.359413,,,,
264.5499134510492,-28.04683596294658,5.8062725,308.6648449145891,,Gaia_DR3,4060470572890255872,2.4329653,-7.343186212992703,-16.17443977364161,-9.993255,,,,
265.8237917817594,-27.88398924247034,6.2555532,681.4900122844382,,Gaia_DR3,4060664224334317440,0.7311964,1.7739609821145428,-2.596753764499132,-22.803598,,,,
264.8351854274233,-29.531035779814673,6.4858346,128.6994,5039.272,Gaia_DR3,4060032589289414016,1.0909419,-0.43841571969266363,-14.497092449417492,-35.342705,,,,
267.3225842565037,-30.59763366416551,6.574089,52.6159,6841.062,Gaia_DR3,4055974566725293184,0.48393536,59.1864396743124,-42.29120580148218,-15.532805,,,,
267.8023494592684,-30.556879798099605,6.687079,258.4539025148417,,Gaia_DR3,4056340704108946176,0.096625805,7.201915342076091,-2.388779798450336,-4.779914,,,,
266.29848382764663,-28.32557466803745,6.999408,920.4086,3635.0999,Gaia_DR3,4057586897396004864,3.3522067,0.548118318370156,-2.117002583678418,7.0274525,,,,
266.66641417408346,-29.39278711811547,7.0350842,776.5569694399402,,Gaia_DR3,4057269172927297920,2.1582766,-3.235195184856526,-7.442079883590464,-15.446827,,,,
265.09946857466315,-28.923226380886323,7.1424713,449.1748420091211,,Gaia_DR3,4060162434709471360,0.4111414,-1.3731048745888144,-5.496020843306419,,,,,
265.21827930957005,-27.395816046379128,7.22366,432.7313822845024,,Gaia_DR3,4060893369462326272,2.498671,-23.062853916943695,-11.692280435320693,6.5388813,,,,
268.0030331987303,-28.022380776567584,7.2329535,2296.1986198646046,,Gaia_DR3,4063462206570029312,4.0564556,0.8426151620814877,-0.9463251003957454,,,,,
268.0262795965906,-29.63206590481396,7.2415776,865.3737996891151,,Gaia_DR3,4056455637465455488,3.494587,-2.636733603378163,-4.688038743547919,-27.593414,,,,
264.861770571349,-29.959783938114093,7.435572,580.4058,12834.399,Gaia_DR3,4056984949149517184,0.091593266,-0.007308313545718148,-6.148934548740988,,,,,
266.65568476006996,-29.66568439238096,7.5176167,1289.8100058017224,,Gaia_DR3,4056874620022245760,1.961607,0.44434942934223737,-1.622409187709484,10.771757,,,,
264.75239860171456,-28.412893312425663,7.5604553,73.3354,6320.035,Gaia_DR3,4060239400532063232,0.62150764,-72.7088686314579,-75.28899082718439,-2.2270646,,,,
265.9853974428828,-29.308618749332435,7.584886,1025.3950937892557,,Gaia_DR3,4057095961149713920,2.9320045,-0.7584563291305897,-1.9001173163379161,-1.1416727,,,,
268.4507286524214,-28.688551951141385,7.587966,429.14255277833956,,Gaia_DR3,4057366063061960448,1.2369461,-2.5679469103994825,-12.408256384605927,0.6793464,,,,
265.63729889180735,-28.313192030810082,7.598965,1659.645645024424,,Gaia_DR3,4060578977814801536,1.9697609,-0.6083861008552223,-2.312519694778048,-19.813288,,,,
268.0450339512639,-28.451144886157373,7.6413026,1529.5600793686513,,Gaia_DR3,4057429598586071680,2.1014743,0.08207321416256197,-2.325051152138202,-11.026882,,,,
266.6844470211227,-29.453757689780044,7.6821003,636.5081863151895,,Gaia_DR3,4057268417013006464,1.8103113,-7.703302609591148,-2.281695728061452,34.43196,,,,
267.05847753585994,-28.014776156243226,7.7092133,3322.319867572089,,Gaia_DR3,4057682692354437888,2.4118104,-2.154627911979214,-4.555805896891172,,,,,
266.62886692415805,-27.43863064967569,7.713402,1106.056608468164,,Gaia_DR3,4060728133440119936,2.2153158,0.22345906015054018,-1.5592360861294075,11.841112,,,,
265.8753998383904,-30.17703674098146,7.7305517,125.5253,7327.2397,Gaia_DR3,4056752402428456832,0.36232185,0.7148294666996375,-16.47924845551179,-16.86792,,,,
268.04874423351635,-30.15166370340217,7.757476,1576.2733981615086,,Gaia_DR3,4056388739038627712,2.3128848,-0.7901089573146051,-1.1471496908779046,-33.46787,,,,
267.21222883880966,-28.246152580401933,7.8333626,905.069570538695,,Gaia_DR3,4057629159879430144,1.5680995,0.6461644119804597,-3.5141110808463214,14.679606,,,,
267.10919229891084,-30.299515386502406,7.8547974,87.1769,6048.1147,Gaia_DR3,4056040881013504256,0.69609547,-39.20122598281972,-10.00461423028164,20.211939,,,,
266.4055648711597,-28.407687947261664,7.9006925,82.4916,6518.454,Gaia_DR3,4057573802035360896,0.569479,0.3692271623399537,-50.610098808286224,-5.118086,,,,
268.05856080434046,-28.479609711492596,7.900937,281.2791764266656,,Gaia_DR3,4057382560119989888,1.4527888,-13.146636627508773,-13.262006953352873,8.41698,,,,
265.68730963988065,-28.431082787328496,7.901972,1658.0997720164166,,Gaia_DR3,4060564168767410432,2.4117475,2.141210297415009,-0.6368292514405424,7.714267,,,,
265.7897313841336,-29.93830423352567,7.9021277,442.78,4668.548,Gaia_DR3,4057040027795129344,2.0283685,-5.989395282917673,-7.192561964238224,1.4630246,,,,
264.43596610227365,-28.437302668501335,7.9079175,380.0062884274427,,Gaia_DR3,4060421026126004224,0.40881824,3.307485076990183,-3.9845418480987536,-25.791151,,,,
265.61287819877856,-29.439015752546748,7.965644,128.0844,6783.1943,Gaia_DR3,4057118952116657920,0.49590588,9.887836481343623,-22.29722220992673,10.35002,,,,
