hostname,planet_count,min_period,max_period,min_distance,max_distance,discovery_year,system_distance,ra,dec
GJ 9404,1,13.4586,13.4586,0.0943,0.0943,2023,23.8839,184.8472095,28.3827126
GJ 96,1,73.94,73.94,0.291,0.291,2018,11.9315,35.5624031,47.8802075
GJ 9689,1,18.27,18.27,0.1139,0.1139,2020,30.6203,303.467731,13.3888921
GJ 9714,1,19240.75467,19240.75467,12.319,12.319,2022,20.5121,315.4141767,-32.5250028
GPX-1,1,1.744579,1.744579,0.0338,0.0338,2021,655.013,38.3691648,56.025708
Gaia-1,1,3.052524,3.052524,0.04047,0.04047,2022,363.66,90.6436658,-0.5771099
Gaia-2,1,3.6915224,3.6915224,0.0467,0.0467,2022,209.229,110.7353308,67.2526565
Gl 378,1,3.822,3.822,0.039435,0.039435,2019,14.9545,150.5865513,48.0824515
Gl 410,1,6.02,6.02,0.0531,0.0531,2025,11.9324,165.6604212,21.9669164
Gl 49,1,13.8508,13.8508,0.0905,0.0905,2019,9.8528,15.6687321,62.3454386
Gl 686,1,15.53,15.53,0.091,0.091,2018,8.15728,264.4764878,18.5959509
Gl 725 A,1,11.2201,11.2201,0.068,0.068,2025,3.5214,280.6834312,59.638109
Gliese 12,1,12.761408,12.761408,0.0668,0.0668,2024,12.21,3.9579137,13.5576175
HAT-P-1,1,4.46529976,4.46529976,0.05561,0.05561,2006,158.979,344.4453632,38.674919
HAT-P-12,1,3.2130598,3.2130598,0.0384,0.0384,2009,142.751,209.3886452,43.49331
HAT-P-14,1,4.62767,4.62767,0.0596,0.0596,2010,222.663,260.1161719,38.2421682
HAT-P-15,1,10.8635,10.8635,0.0965,0.0965,2010,192.516,66.248142,39.460602
HAT-P-16,1,2.77596,2.77596,0.0413,0.0413,2010,226.637,9.5730343,42.4630961
HAT-P-18,1,5.508023,5.508023,0.0559,0.0559,2010,161.4,256.346376,33.0123251
HAT-P-19,1,4.00878322,4.00878322,0.04599,0.04599,2010,202.078,9.5165832,34.7114025
HAT-P-2,1,5.6335158,5.6335158,0.06814,0.06814,2007,127.774,245.1514324,41.0479601
HAT-P-20,1,2.875317,2.875317,0.0361,0.0361,2010,71.0374,111.9164295,24.3361185
HAT-P-21,1,4.12448,4.12448,0.0494,0.0494,2010,277.278,171.2749348,41.0280207
HAT-P-22,1,3.21222,3.21222,0.0414,0.0414,2010,81.7647,155.6814593,50.1287115
HAT-P-23,1,1.212884,1.212884,0.0232,0.0232,2010,364.813,306.1239076,16.7621462
HAT-P-24,1,3.35524,3.35524,0.04651,0.04651,2010,415.344,108.8251171,14.2626064
HAT-P-25,1,3.65281514,3.65281514,0.0466,0.0466,2010,300.384,48.4354731,25.1973548
HAT-P-26,1,4.23452,4.23452,0.0479,0.0479,2010,141.837,213.1565508,4.0594175
HAT-P-27,1,3.039577,3.039577,0.04,0.04,2011,199.173,222.7673221,5.9473626
HAT-P-28,1,3.257215,3.257215,0.0434,0.0434,2011,401.319,13.0009159,34.728402
HAT-P-29,1,5.72319,5.72319,0.0667,0.0667,2011,313.576,33.1310921,51.7787754
HAT-P-3,1,2.8997,2.8997,0.03866,0.03866,2007,134.554,206.0940142,48.028565
HAT-P-30,1,2.8106,2.8106,0.0419,0.0419,2011,213.985,123.9498431,5.8368669
HAT-P-31,1,5.00542,5.00542,0.061,0.061,2011,344.05,271.5376722,26.4266061
