pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_eqt,st_rad,st_mass,st_teff,sy_dist,ra,dec,download_date
75 Cet b,75 Cet,2,2,Radial Velocity,2012,696.62,1.912,13.3,1.18,,,,10.38,1.92,4809.0,82.9613,38.0391598,-1.0350269,2025-08-09T19:18:00.759623
75 Cet c,75 Cet,2,2,Radial Velocity,2023,2051.62,3.929,13.9,1.24,,,,10.38,1.92,4809.0,82.9613,38.0391598,-1.0350269,2025-08-09T19:18:00.759624
8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,0.49,13.6,1.22,,,,10.3,1.44,4847.0,162.552,224.201685,74.9009379,2025-08-09T19:18:00.759626
81 Cet b,81 Cet,1,1,Radial Velocity,2008,1005.57,2.104,13.1,1.17,,,,11.21,1.23,4734.0,101.26,39.4243555,-3.3963607,2025-08-09T19:18:00.759628
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.4,0.7,13.1,1.17,,,,11.0,1.4,4665.0,44.0304,348.9745031,-9.0878076,2025-08-09T19:18:00.759629
AF Lep b,AF Lep,1,1,Imaging,2023,8030.0,8.4,13.1,1.17,1017.0509024,3.2,1400.0,1.25,1.2,6130.0,26.8564,81.7699216,-11.9011752,2025-08-09T19:18:00.759631
AT2021ueyL b,AT2021ueyL,1,1,Microlensing,2025,4168.69,4.01,13.6,1.22,425.89006538,1.34,,,0.49,3680.0,1040.0,324.5450417,26.4665694,2025-08-09T19:18:00.759632
AU Mic b,AU Mic,1,3,Transit,2020,8.46308,0.0649,3.95677019,0.353,20.12,0.0633045994532515,600.0,0.744,0.51,3678.0,9.7221,311.2911369,-31.34245,2025-08-09T19:18:00.759634
AU Mic c,AU Mic,1,3,Transit,2021,18.85969,0.1108,2.52202066,0.225,9.6,0.0302049778703387,459.0,0.744,0.51,3678.0,9.7221,311.2911369,-31.34245,2025-08-09T19:18:00.759635
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,481.9,1.3,12.7,1.13,,,,32.35,1.14,4095.0,1070.63,177.5647268,2.7601075,2025-08-09T19:18:00.759637
