pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_eqt,st_rad,st_mass,st_teff,sy_dist,ra,dec,download_date
HD 181234 b,HD 181234,1,1,Radial Velocity,2019,7593.40512,7.427,12.5,1.12,2980.912629253,9.379,,1.059423,0.94,5386.0,47.7458,289.9998695,-9.32497,2025-08-09T19:18:00.760687
HD 181342 b,HD 181342,1,1,Radial Velocity,2009,564.1,1.592,13.2,1.18,,,,4.71,1.69,4945.0,120.391,290.2674078,-23.6196996,2025-08-09T19:18:00.760688
HD 18143 b,HD 18143,1,2,Radial Velocity,2022,10.2851,0.088,3.28,0.293,,,,0.87,0.85,5078.0,22.5243,43.9140248,26.8723829,2025-08-09T19:18:00.760689
HD 18143 c,HD 18143,1,2,Radial Velocity,2022,28982.41764,17.53,12.5,1.11,3177.648413186,9.998,,0.87,0.85,5078.0,22.5243,43.9140248,26.8723829,2025-08-09T19:18:00.760691
HD 181433 b,HD 181433,1,3,Radial Velocity,2008,9.3743,0.08,2.4,0.214,,,,0.79,0.63,4918.0,26.8762,291.2873731,-66.4677838,2025-08-09T19:18:00.760692
HD 181433 c,HD 181433,1,3,Radial Velocity,2008,962.0,1.76,14.1,1.26,,,,0.79,0.78,4962.0,26.8762,291.2873731,-66.4677838,2025-08-09T19:18:00.760694
HD 181433 d,HD 181433,1,3,Radial Velocity,2008,2172.0,3.0,14.2,1.27,,,,0.79,0.78,4962.0,26.8762,291.2873731,-66.4677838,2025-08-09T19:18:00.760695
HD 181720 b,HD 181720,1,1,Radial Velocity,2009,956.0,1.85,14.0,1.25,,,,1.5,1.03,5736.0,60.2046,290.7212224,-32.9208401,2025-08-09T19:18:00.760697
HD 183263 b,HD 183263,1,2,Radial Velocity,2004,624.87404,1.46,13.1,1.17,,,,1.23,1.06,5948.0,54.1955,292.1022982,8.3579183,2025-08-09T19:18:00.760698
HD 183263 c,HD 183263,1,2,Radial Velocity,2008,4667.97841,5.585,12.5,1.12,2958.98246917,9.31,,1.23,1.06,5948.0,54.1955,292.1022982,8.3579183,2025-08-09T19:18:00.760699
HD 183579 b,HD 183579,1,1,Transit,2021,17.471291,0.1322,3.49,0.31135748,20.4,0.0641855779744697,752.0,0.96,0.996,5784.0,57.2651,293.2866147,-54.5327284,2025-08-09T19:18:00.760701
HD 184010 b,HD 184010,1,3,Radial Velocity,2022,286.6,0.94,12.1,1.08,,,,4.86,1.35,4971.0,60.7993,292.8401421,26.6172796,2025-08-09T19:18:00.760702
HD 184010 c,HD 184010,1,3,Radial Velocity,2022,484.3,1.334,11.8,1.06,,,,4.86,1.35,4971.0,60.7993,292.8401421,26.6172796,2025-08-09T19:18:00.760704
HD 184010 d,HD 184010,1,3,Radial Velocity,2022,836.4,1.92,14.3,1.28,,,,4.86,1.35,4971.0,60.7993,292.8401421,26.6172796,2025-08-09T19:18:00.760705
HD 18438 b,HD 18438,1,1,Radial Velocity,2023,803.0,2.1,12.1,1.08,,,,88.475,1.84,3860.0,224.146,46.5318358,79.41858,2025-08-09T19:18:00.760707
HD 185269 b,HD 185269,3,1,Radial Velocity,2006,6.83776,0.077,13.8,1.23,,,,2.0,1.3,5923.0,51.9917,294.2987668,28.499514,2025-08-09T19:18:00.760709
HD 185283 b,HD 185283,1,1,Radial Velocity,2023,4060.0,4.6,13.6,1.22,413.1769291,1.3,,0.743303,0.8,4848.0,31.395,295.3233609,-56.3221096,2025-08-09T19:18:00.760710
HD 18599 b,HD 18599,2,1,Transit,2022,4.1374354,0.048,2.6,0.23195686,24.1,0.0758270798619961,863.0,0.767,0.863,5145.0,38.5653,44.2620144,-56.1918694,2025-08-09T19:18:00.760712
HD 187085 b,HD 187085,1,1,Radial Velocity,2006,1019.74,2.1,13.9,1.24,,,,1.27,1.189,6117.0,45.8993,297.3915731,-37.7809929,2025-08-09T19:18:00.760713
HD 187123 b,HD 187123,1,2,Radial Velocity,1998,3.0965828,0.0426,14.2,1.27,,,,1.15043,1.04,5790.0,45.9548,296.7428786,34.41899,2025-08-09T19:18:00.760714
HD 187123 c,HD 187123,1,2,Radial Velocity,2008,3810.0,4.89,13.4,1.19,,,,1.15043,1.04,5790.0,45.9548,296.7428786,34.41899,2025-08-09T19:18:00.760716
HD 18742 b,HD 18742,1,1,Radial Velocity,2011,766.0,1.82,13.1,1.17,,,,5.13,1.36,4940.0,162.685,45.0443115,-20.8027024,2025-08-09T19:18:00.760717
HD 188015 b,HD 188015,2,1,Radial Velocity,2004,461.2,1.203,13.6,1.21,,,,1.125296,1.09,5746.0,50.6706,298.0191857,28.0999769,2025-08-09T19:18:00.760719
HD 188641 b,HD 188641,1,1,Radial Velocity,2022,14583.81038,12.027,11.9,1.06,9333.031171555,29.365,,1.94492,1.07,5897.32,64.3399,299.4048303,-37.7448845,2025-08-09T19:18:00.760720
HD 189567 b,HD 189567,1,2,Radial Velocity,2021,14.288,0.111,2.85,0.254,,,,1.04,0.83,5726.0,17.9055,301.3959616,-67.3237992,2025-08-09T19:18:00.760722
HD 189567 c,HD 189567,1,2,Radial Velocity,2021,33.688,0.197,2.54,0.227,,,,1.04,0.83,5726.0,17.9055,301.3959616,-67.3237992,2025-08-09T19:18:00.760723
HD 189733 b,HD 189733,2,1,Radial Velocity,2005,2.21857567,0.03126,12.66617,1.13,359.1479,1.13,1209.0,0.75,0.79,5052.0,19.7638,300.1821223,22.7097759,2025-08-09T19:18:00.760725
HD 190007 b,HD 190007,1,1,Radial Velocity,2020,11.724128,0.092,4.06,0.362,,,,0.79,0.77,4610.0,12.7141,300.6956339,3.3266992,2025-08-09T19:18:00.760726
HD 190228 b,HD 190228,1,1,Radial Velocity,2022,1143.59858,2.406,12.9,1.15,1598.67688721,5.03,,2.58658,1.415,5360.0,62.7146,300.7537294,28.3065564,2025-08-09T19:18:00.760727
HD 190360 c,HD 190360,2,2,Radial Velocity,2005,17.111,0.1304,4.59,0.409,,,,1.16804,0.98,5549.0,16.0069,300.9092476,29.894541,2025-08-09T19:18:00.760729
HD 190360 b,HD 190360,2,2,Radial Velocity,2003,2854.0,3.9,13.4,1.2,572.0911326,1.8,150.0,1.14,1.0,5552.0,16.0069,300.9092476,29.894541,2025-08-09T19:18:00.760730
HD 190647 b,HD 190647,1,1,Radial Velocity,2007,1176.45,2.231,13.4,1.19,,,,1.376,1.069,5656.0,54.4738,301.8318167,-35.5395236,2025-08-09T19:18:00.760733
HD 190984 b,HD 190984,1,1,Radial Velocity,2009,4885.0,5.5,13.0,1.16,1137.82569706,3.58,,1.53,0.91,5988.0,148.187,302.8779827,-64.6202728,2025-08-09T19:18:00.760734
HD 191806 b,HD 191806,1,1,Radial Velocity,2016,1603.38923,2.749,12.5,1.12,2966.610350938,9.334,,1.40223,1.07,6010.0,65.6668,302.368758,52.2767265,2025-08-09T19:18:00.760736
HD 191939 b,HD 191939,1,6,Transit,2020,8.8803256,0.0804,3.41,0.30422035,10.0,0.0314635186149361,880.0,0.94,0.81,5348.0,53.6089,302.0256247,66.8503014,2025-08-09T19:18:00.760737
HD 191939 c,HD 191939,1,6,Transit,2020,28.579743,0.1752,3.195,0.2850393,8.0,0.0251708148919489,600.0,0.94,0.81,5348.0,53.6089,302.0256247,66.8503014,2025-08-09T19:18:00.760739
HD 191939 d,HD 191939,1,6,Transit,2020,38.353037,0.2132,2.995,0.26719646,2.8,0.00880978521218212,540.0,0.94,0.81,5348.0,53.6089,302.0256247,66.8503014,2025-08-09T19:18:00.760741
HD 191939 e,HD 191939,1,6,Radial Velocity,2022,101.12,0.407,13.0,1.16,,,390.0,0.94,0.81,5348.0,53.6089,302.0256247,66.8503014,2025-08-09T19:18:00.760743
HD 191939 g,HD 191939,1,6,Radial Velocity,2022,284.0,0.812,3.74,0.334,,,278.0,0.94,0.81,5348.0,53.6089,302.0256247,66.8503014,2025-08-09T19:18:00.760744
HD 191939 f,HD 191939,1,6,Radial Velocity,2022,2898.0,3.71,13.2,1.18,,,125.0,0.94,0.81,5348.0,53.6089,302.0256247,66.8503014,2025-08-09T19:18:00.760747
HD 192263 b,HD 192263,1,1,Radial Velocity,1999,24.3556,0.15,14.2,1.26,,,486.0,0.74,0.66,4976.0,19.6359,303.4990864,-0.8657574,2025-08-09T19:18:00.760748
HD 192310 b,HD 192310,1,2,Radial Velocity,2011,74.72,0.32,4.27,0.381,,,355.0,0.857922,0.8,5166.0,8.79687,303.8284712,-27.0337556,2025-08-09T19:18:00.760750
HD 192310 c,HD 192310,1,2,Radial Velocity,2011,525.8,1.18,5.25,0.469,,,185.0,0.857922,0.8,5166.0,8.79687,303.8284712,-27.0337556,2025-08-09T19:18:00.760752
HD 192699 b,HD 192699,1,1,Radial Velocity,2007,340.94,1.063,13.4,1.19,,,,4.41,1.38,5041.0,71.8627,304.0248392,4.5805708,2025-08-09T19:18:00.760753
HD 194490 b,HD 194490,1,1,Radial Velocity,2022,13092.18348,11.116,12.4,1.11,3561.902957249,11.207,,1.14911,1.06,5861.32,80.2349,306.9980087,-51.6644646,2025-08-09T19:18:00.760754
HD 195019 b,HD 195019,2,1,Radial Velocity,1998,18.20132,0.14,13.0,1.16,,,,1.48,1.21,5751.0,37.6681,307.0792427,18.7692509,2025-08-09T19:18:00.760756
HD 196050 b,HD 196050,3,1,Radial Velocity,2002,1392.0,2.65,12.9,1.15,1493.7935129,4.7,,1.42,1.27,5879.0,50.6742,309.4637796,-60.6347649,2025-08-09T19:18:00.760757
HD 196067 b,HD 196067,2,1,Radial Velocity,2012,3638.0,5.02,12.3,1.1,3972.8550875,12.5,,1.73,1.29,6017.0,39.9346,310.4364195,-75.3514992,2025-08-09T19:18:00.760759
HD 19615 b,HD 19615,1,1,Radial Velocity,2022,402.0,1.1,12.6,1.12,,,,32.3,1.1,4263.0,265.155,48.7813299,73.868015,2025-08-09T19:18:00.760760
HD 196885 A b,HD 196885 A,2,1,Radial Velocity,2007,1333.0,2.37,13.2,1.18,,,,1.31,1.28,6254.0,34.1692,309.9664609,11.2500236,2025-08-09T19:18:00.760761
HD 197037 b,HD 197037,2,1,Radial Velocity,2012,1035.7,2.07,13.9,1.24,,,,1.105,1.11,6150.0,33.1944,309.8869681,42.247593,2025-08-09T19:18:00.760763
HD 199509 b,HD 199509,1,1,Radial Velocity,2022,99.62167,0.426,7.43,0.663,,,,0.92,1.04,5796.02,24.3056,317.3445632,-82.0274926,2025-08-09T19:18:00.760764
HD 19994 b,HD 19994,3,1,Radial Velocity,2003,466.2,1.305,13.6,1.21,,,,1.79647,1.365,6188.0,22.5242,48.1943193,-1.1963955,2025-08-09T19:18:00.760766
HD 20003 b,HD 20003,1,2,Radial Velocity,2019,11.8482,0.0974,3.43,0.306,,,,0.921637,0.875,5494.0,41.8316,46.9090081,-72.3219221,2025-08-09T19:18:00.760767
HD 20003 c,HD 20003,1,2,Radial Velocity,2019,33.9239,0.1964,3.89,0.347,,,,0.921637,0.875,5494.0,41.8316,46.9090081,-72.3219221,2025-08-09T19:18:00.760769
HD 200964 b,HD 200964,1,2,Radial Velocity,2010,606.3,1.565,13.5,1.21,,,,4.92,1.39,4982.0,72.5922,316.6664183,3.8033357,2025-08-09T19:18:00.760770
HD 200964 c,HD 200964,1,2,Radial Velocity,2010,852.5,1.96,13.7,1.22,,,,4.92,1.39,4982.0,72.5922,316.6664183,3.8033357,2025-08-09T19:18:00.760771
HD 202206 c,HD 202206,2,1,Radial Velocity,2004,1260.0,2.41,12.2,1.08,5689.157,17.9,,1.04,1.07,5766.0,45.9665,318.7405221,-20.7897284,2025-08-09T19:18:00.760773
HD 202772 A b,HD 202772 A,2,1,Transit,2019,3.308958,0.05208,17.317905,1.545,323.23311,1.017,2132.0,2.591,1.72,6272.0,161.498,319.6995877,-26.6163743,2025-08-09T19:18:00.760774
HD 20329 b,HD 20329,1,1,Transit,2022,0.926118,0.018,1.72,0.15344839,7.42,0.0233459308122826,2141.0,1.13,0.9,5596.0,63.6796,49.178124,15.6563542,2025-08-09T19:18:00.760776
HD 203387 b,HD 203387,1,2,Radial Velocity,2022,512.5352,1.771,13.1,1.17,,,,10.5852,2.817,5174.32,61.7477,320.561782,-16.8345229,2025-08-09T19:18:00.760777
HD 203387 c,HD 203387,1,2,Radial Velocity,2022,2481.07227,5.067,12.6,1.13,2378.945626395,7.485,,10.5852,2.817,5174.32,61.7477,320.561782,-16.8345229,2025-08-09T19:18:00.760779
HD 2039 b,HD 2039,1,1,Radial Velocity,2002,1120.0,2.2,12.7,1.14,,,,1.19,1.23,5945.0,85.6922,6.0851069,-56.649988,2025-08-09T19:18:00.760780
HD 204313 c,HD 204313,1,3,Radial Velocity,2015,34.95875,0.211,4.31,0.385,,,,1.1,1.03,5767.0,47.7945,322.0510568,-21.7274194,2025-08-09T19:18:00.760782
HD 204313 b,HD 204313,1,3,Radial Velocity,2010,2041.11539,3.185,12.9,1.15,1466.778098305,4.615,,1.1,1.03,5767.0,47.7945,322.0510568,-21.7274194,2025-08-09T19:18:00.760783
HD 204313 e,HD 204313,1,3,Radial Velocity,2022,7325.64666,7.457,12.2,1.09,4868.177710019,15.317,,1.1,1.03,5767.0,47.7945,322.0510568,-21.7274194,2025-08-09T19:18:00.760784
HD 204941 b,HD 204941,2,1,Radial Velocity,2011,1733.0,2.55,10.1,0.903,,,,0.78,0.58,5026.0,28.7165,323.0966714,-20.957957,2025-08-09T19:18:00.760786
HD 205158 b,HD 205158,1,1,Radial Velocity,2022,25.33798,0.177,13.9,1.24,,,,1.87741,1.16,6133.55,86.6159,323.9186227,-59.6933144,2025-08-09T19:18:00.760787
HD 205739 b,HD 205739,1,1,Radial Velocity,2008,279.8,0.896,13.6,1.21,,,,1.33,1.22,6176.0,92.5087,324.5351273,-31.7378373,2025-08-09T19:18:00.760789
HD 206255 b,HD 206255,1,1,Radial Velocity,2019,96.045,0.461,6.47,0.577,,,,2.221489,1.42,5635.0,75.2363,325.5917768,-50.0935884,2025-08-09T19:18:00.760790
HD 206610 b,HD 206610,1,1,Radial Velocity,2009,673.2,1.74,13.4,1.19,,,,6.12,1.55,4842.0,147.192,325.8537599,-7.4082451,2025-08-09T19:18:00.760791
HD 206893 c,HD 206893,1,2,Imaging,2022,2090.0,3.53,16.36511182,1.46,4036.4207689,12.7,1181.9,1.31116,1.32,6500.0,40.7583,326.3416874,-12.7833522,2025-08-09T19:18:00.760793
HD 206893 b,HD 206893,1,2,Imaging,2021,9350.0,9.6,14.01122587,1.25,8899.195396,28.0,1429.2,1.31116,1.32,6500.0,40.7583,326.3416874,-12.7833522,2025-08-09T19:18:00.760794
HD 207496 b,HD 207496,1,1,Transit,2023,6.441008,0.0629,2.25,0.2007319,6.1,0.019192746355111,743.0,0.769,0.8,4819.0,23.606,328.7181708,-77.3388025,2025-08-09T19:18:00.760796
HD 20781 b,HD 20781,2,5,Radial Velocity,2019,5.3135,0.0529,1.21,0.108,,,,0.833609,0.7,5256.0,35.9715,50.0139757,-28.7841175,2025-08-09T19:18:00.760798
HD 20781 c,HD 20781,2,5,Radial Velocity,2019,13.8905,0.1004,2.17,0.193,,,,0.833609,0.7,5256.0,35.9715,50.0139757,-28.7841175,2025-08-09T19:18:00.760799
HD 20781 d,HD 20781,2,5,Radial Velocity,2019,29.158,0.1647,3.25,0.29,,,,0.833609,0.7,5256.0,35.9715,50.0139757,-28.7841175,2025-08-09T19:18:00.760802
HD 20781 e,HD 20781,2,5,Radial Velocity,2019,85.5073,0.3374,3.83,0.342,,,,0.833609,0.7,5256.0,35.9715,50.0139757,-28.7841175,2025-08-09T19:18:00.760803
HD 20782 b,HD 20782,2,5,Radial Velocity,2006,597.0643,1.3649,13.6,1.21,,,,1.12681,1.04,5782.13,35.9864,50.0166232,-28.8543535,2025-08-09T19:18:00.760804
HD 207832 b,HD 207832,3,2,Radial Velocity,2012,160.07,0.586,14.2,1.26,,,,0.89,1.05,5726.0,58.9291,328.1517893,-26.0271749,2025-08-09T19:18:00.760806
HD 207832 c,HD 207832,3,2,Radial Velocity,2012,1155.7,2.112,14.0,1.25,,,,0.901,0.94,5710.0,58.9291,328.1517893,-26.0271749,2025-08-09T19:18:00.760807
HD 207897 b,HD 207897,1,1,Transit,2021,16.20166,0.117,2.34302132,0.20903072,14.8,0.0465660075501055,581.75,0.7827,0.8208,5106.0,28.2938,325.2016451,84.3337613,2025-08-09T19:18:00.760809
HD 20794 b,HD 20794,1,4,Radial Velocity,2011,18.314,0.1257,1.45,0.129,,,660.0,0.93,0.79,5368.0,6.00278,49.9997666,-43.0666533,2025-08-09T19:18:00.760811
HD 20794 d,HD 20794,1,4,Radial Velocity,2011,89.68,0.3625,2.04,0.182,,,388.0,0.93,0.79,5368.0,6.00278,49.9997666,-43.0666533,2025-08-09T19:18:00.760812
HD 20794 e,HD 20794,1,4,Radial Velocity,2017,147.02,0.509,2.03,0.181,,,,0.93,0.813,5401.0,6.00278,49.9997666,-43.0666533,2025-08-09T19:18:00.760814
HD 20794 f,HD 20794,1,4,Radial Velocity,2025,647.6,1.3541,2.28,0.203,,,,0.93,0.79,5368.0,6.00278,49.9997666,-43.0666533,2025-08-09T19:18:00.760815
HD 208487 b,HD 208487,1,1,Radial Velocity,2004,130.08,0.524,14.2,1.27,,,,1.198429,1.13,6067.0,45.147,329.3332489,-37.7641354,2025-08-09T19:18:00.760817
HD 208527 b,HD 208527,1,1,Radial Velocity,2012,875.5,2.1,12.5,1.11,,,,51.1,1.6,4035.0,312.202,329.0999413,21.239922,2025-08-09T19:18:00.760818
HD 20868 b,HD 20868,1,1,Radial Velocity,2008,380.85001,0.95,13.7,1.22,,,,0.76,0.39,4802.0,47.7223,50.1794053,-33.72969,2025-08-09T19:18:00.760819
HD 208897 b,HD 208897,1,1,Radial Velocity,2017,358.27,1.063,13.7,1.22,,,,4.98,1.25,4860.0,67.4872,329.7490639,19.0201591,2025-08-09T19:18:00.760821
HD 209458 b,HD 209458,1,1,Radial Velocity,1999,3.52474859,0.04707,15.58051,1.39,232.0159,0.73,1459.0,1.19,1.23,6091.0,48.3016,330.7950219,18.8842419,2025-08-09T19:18:00.760822
HD 210193 b,HD 210193,1,1,Radial Velocity,2019,649.918,1.487,14.3,1.27,,,,1.05971,1.04,5790.0,42.2029,332.3951324,-41.225205,2025-08-09T19:18:00.760828
HD 210277 b,HD 210277,1,1,Radial Velocity,1998,442.19,1.13,13.6,1.22,,,,1.07,1.01,5538.0,21.2985,332.3748117,-7.5505962,2025-08-09T19:18:00.760830
HD 210702 b,HD 210702,1,1,Radial Velocity,2007,355.5,1.079,13.6,1.21,,,,4.54,1.33,4912.0,54.1963,332.9638643,16.0404806,2025-08-09T19:18:00.760831
HD 211403 b,HD 211403,1,1,Radial Velocity,2021,223.8,0.768,12.8,1.14,,,380.0,1.206,1.2,6273.0,83.0919,333.8158177,58.2755601,2025-08-09T19:18:00.760833
HD 211810 b,HD 211810,1,1,Radial Velocity,2018,1558.0,2.656,14.0,1.25,,,,1.13,1.03,5652.0,64.6353,334.5286724,61.1349912,2025-08-09T19:18:00.760834
HD 211970 b,HD 211970,1,1,Radial Velocity,2019,25.201,0.143,3.66,0.327,,,,0.574175,0.61,4127.0,13.1277,335.5661579,-54.5596006,2025-08-09T19:18:00.760836
HD 212301 b,HD 212301,2,1,Radial Velocity,2005,2.24571,0.03,14.2,1.27,,,,1.16,1.55,6239.0,54.2304,336.8803957,-77.7183219,2025-08-09T19:18:00.760837
HD 212771 b,HD 212771,1,1,Radial Velocity,2009,380.7,1.19,13.3,1.18,,,,5.27,1.56,5003.0,111.155,336.762413,-17.2641046,2025-08-09T19:18:00.760839
HD 213240 b,HD 213240,2,1,Radial Velocity,2001,882.70001,1.89,12.8,1.14,1655.88600047,5.21,,1.51,1.57,5979.0,40.8707,337.7506266,-49.4341037,2025-08-09T19:18:00.760840
HD 213472 b,HD 213472,1,1,Radial Velocity,2021,17000.0,13.0,13.1,1.17,,,,1.433902,1.048132,5729.54,64.4527,337.7069969,40.7222277,2025-08-09T19:18:00.760841
HD 213519 b,HD 213519,1,1,Radial Velocity,2022,11.12214,0.099,2.99,0.267,,,,1.08287,1.05,5840.0,41.0014,337.7727845,45.1452472,2025-08-09T19:18:00.760843
HD 213885 b,HD 213885,1,2,Transit,2019,1.008035,0.02012,1.745,0.15567847,8.83,0.0277821476890161,2128.0,1.1011,1.068,5978.0,48.0883,338.9837166,-59.864829,2025-08-09T19:18:00.760844
HD 213885 c,HD 213885,1,2,Radial Velocity,2019,4.78503,0.056798,4.71,0.42,,,1265.4,1.1011,1.068,5978.0,48.0883,338.9837166,-59.864829,2025-08-09T19:18:00.760846
HD 21411 b,HD 21411,1,1,Radial Velocity,2019,84.288,0.362,9.52,0.85,,,,0.825605,0.89,5605.0,29.1328,51.5474155,-30.6168403,2025-08-09T19:18:00.760847
HD 214823 b,HD 214823,2,1,Radial Velocity,2016,1854.84424,3.08,12.1,1.08,5914.78665427,18.61,,2.04,1.115,6215.0,101.368,340.0832062,31.7875183,2025-08-09T19:18:00.760849
HD 215152 b,HD 215152,1,4,Radial Velocity,2018,5.75999,0.057638,1.19,0.106,,,,0.73,0.77,4935.0,21.5974,340.8380941,-6.4020685,2025-08-09T19:18:00.760850
HD 215152 c,HD 215152,1,4,Radial Velocity,2018,7.28243,0.067393,1.17,0.105,,,,0.73,0.77,4935.0,21.5974,340.8380941,-6.4020685,2025-08-09T19:18:00.760852
HD 215152 d,HD 215152,1,4,Radial Velocity,2018,10.86499,0.08799,1.48,0.132,,,,0.73,0.77,4935.0,21.5974,340.8380941,-6.4020685,2025-08-09T19:18:00.760853
HD 215152 e,HD 215152,1,4,Radial Velocity,2018,25.1967,0.15417,1.51,0.134,,,,0.73,0.77,4935.0,21.5974,340.8380941,-6.4020685,2025-08-09T19:18:00.760855
HD 21520 b,HD 21520,1,1,Transit,2024,25.1292,0.1726,2.697,0.24061064,17.7,0.055690427948437,637.0,1.044,1.09,5871.0,79.208,51.6403449,-43.6136649,2025-08-09T19:18:00.760856
HD 215497 b,HD 215497,1,2,Radial Velocity,2009,3.93404,0.05,2.4,0.214,,,,0.85,0.67,5110.0,40.5468,341.652714,-56.5997984,2025-08-09T19:18:00.760858
HD 215497 c,HD 215497,1,2,Radial Velocity,2009,566.0,1.31,13.0,1.16,111.23994245,0.35,,0.85,0.92,5113.0,40.5468,341.652714,-56.5997984,2025-08-09T19:18:00.760859
HD 216435 b,HD 216435,1,1,Radial Velocity,2002,1311.0,2.56,13.7,1.22,,,,1.800029,1.3,5999.0,32.9834,343.4094703,-48.5986332,2025-08-09T19:18:00.760861
HD 216437 b,HD 216437,1,1,Radial Velocity,2002,1359.0,2.57,13.0,1.16,1334.8793094,4.2,,1.394,1.22,5909.0,26.6902,343.6639631,-70.0733957,2025-08-09T19:18:00.760862
HD 216520 b,HD 216520,1,2,Radial Velocity,2020,35.45,0.198,3.18,0.284,,,,0.76,0.82,5103.0,19.552,341.8768719,83.6975307,2025-08-09T19:18:00.760864
HD 216520 c,HD 216520,1,2,Radial Velocity,2020,154.43,0.528,3.03,0.271,,,,0.76,0.82,5103.0,19.552,341.8768719,83.6975307,2025-08-09T19:18:00.760866
HD 216536 b,HD 216536,1,1,Radial Velocity,2015,148.60001,0.61,13.8,1.23,,,,9.83,0.81,4639.0,376.233,343.2665641,44.4777303,2025-08-09T19:18:00.760868
HD 216770 b,HD 216770,1,1,Radial Velocity,2003,118.45,0.46,14.1,1.26,,,,0.93,0.74,5399.0,36.6625,343.9748751,-26.6595286,2025-08-09T19:18:00.760869
HD 21693 b,HD 21693,1,2,Radial Velocity,2019,22.6786,0.1455,2.8,0.25,,,,0.914378,0.8,5430.0,33.255,51.8040469,-58.3232726,2025-08-09T19:18:00.760870
HD 21693 c,HD 21693,1,2,Radial Velocity,2019,53.7357,0.2586,4.34,0.387,,,,0.914378,0.8,5430.0,33.255,51.8040469,-58.3232726,2025-08-09T19:18:00.760872
HD 217107 b,HD 217107,1,2,Radial Velocity,1998,7.12682,0.08,13.6,1.22,,,,1.11,1.0,5622.0,20.0619,344.5647243,-2.3954489,2025-08-09T19:18:00.760873
HD 217107 c,HD 217107,1,2,Radial Velocity,2005,4270.0,5.32,13.2,1.18,,,,1.19931,0.98,5575.0,20.0619,344.5647243,-2.3954489,2025-08-09T19:18:00.760875
HD 217786 c,HD 217786,2,2,Radial Velocity,2022,2.52221,0.038,2.61,0.233,,,,1.27,1.14,5966.0,55.4847,345.7838088,-0.4303594,2025-08-09T19:18:00.760876
HD 217786 b,HD 217786,2,2,Radial Velocity,2011,1301.36009,2.446,12.3,1.1,4402.559093764,13.852,,1.27,1.14,5966.0,55.4847,345.7838088,-0.4303594,2025-08-09T19:18:00.760878
HD 217958 b,HD 217958,1,1,Radial Velocity,2022,2560.19774,3.758,14.2,1.27,166.542085268,0.524,,1.32619,1.08,5930.64,61.7957,346.136577,-25.6917758,2025-08-09T19:18:00.760879
HD 218566 b,HD 218566,1,1,Radial Velocity,2010,225.7,0.69,9.32,0.832,,,,0.85,0.76,4730.0,28.8274,347.297417,-2.2611645,2025-08-09T19:18:00.760881
HD 219077 b,HD 219077,1,1,Radial Velocity,2012,5478.68861,5.935,12.5,1.11,3057.50927534,9.62,,1.91,0.92,5362.0,29.1864,348.5319387,-62.7018297,2025-08-09T19:18:00.760882
HD 219134 b,HD 219134,1,6,Radial Velocity,2015,3.092926,0.03876,1.602,0.14292087,4.74,0.014913633074285,1015.0,0.778,0.81,4699.0,6.53127,348.3372026,57.1696255,2025-08-09T19:18:00.760884
HD 219134 c,HD 219134,1,6,Radial Velocity,2015,6.76458,0.0653,1.511,0.13480239,4.36,0.0137180253594689,782.0,0.778,0.81,4699.0,6.53127,348.3372026,57.1696255,2025-08-09T19:18:00.760886
HD 219134 f,HD 219134,1,6,Radial Velocity,2015,22.717,0.1463,1.31,0.11687037,7.3,0.0229682534688355,522.6,0.778,0.81,4699.0,6.53127,348.3372026,57.1696255,2025-08-09T19:18:00.760887
HD 219134 d,HD 219134,1,6,Radial Velocity,2015,46.859,0.237,1.61,0.14363458,16.17,0.0508762546015165,410.5,0.778,0.81,4699.0,6.53127,348.3372026,57.1696255,2025-08-09T19:18:00.760889
HD 219134 g,HD 219134,1,6,Radial Velocity,2015,94.2,0.3753,3.28,0.293,,,,0.77,0.794,4913.0,6.53127,348.3372026,57.1696255,2025-08-09T19:18:00.760891
HD 219134 h,HD 219134,1,6,Radial Velocity,2015,2247.0,3.11,12.7,1.14,,,,0.77,0.794,4913.0,6.53127,348.3372026,57.1696255,2025-08-09T19:18:00.760892
HD 219139 b,HD 219139,1,1,Radial Velocity,2021,275.5,0.94,14.0,1.24,,,,11.22,1.46,4831.0,104.935,348.3604055,11.0649832,2025-08-09T19:18:00.760894
HD 219415 b,HD 219415,1,1,Radial Velocity,2012,2093.3,3.2,13.8,1.23,,,,2.9,1.0,4820.0,165.184,348.7243579,56.7303001,2025-08-09T19:18:00.760895
HD 219666 b,HD 219666,1,1,Transit,2018,6.034468,0.06356,4.898,0.437,17.6,0.055,1076.0,1.059,1.02,5540.0,94.1719,349.5592665,-56.9039857,2025-08-09T19:18:00.760897
HD 219828 b,HD 219828,1,2,Radial Velocity,2007,3.83483,0.049,4.59,0.409,,,,1.56,1.04,5891.0,73.114,349.6947029,18.6457524,2025-08-09T19:18:00.760898
HD 219828 c,HD 219828,1,2,Radial Velocity,2016,4789.87297,5.657,12.2,1.09,5102.417245978,16.054,,1.56,1.04,5891.0,73.114,349.6947029,18.6457524,2025-08-09T19:18:00.760900
HD 220074 b,HD 220074,1,1,Radial Velocity,2012,672.09998,1.6,12.2,1.09,,,,54.92,2.2,3787.0,324.54,350.0599827,61.9701062,2025-08-09T19:18:00.760901
